aboutText,age,caste,city,college,employedIn,height,profileID,religion
"Coming from a very well to do business family and simple but good looking, well educated, healthy, an ardent animal lover, looking for someone well settled in life, easy going to share the remaining best half of my life.",48,Brahmin,"Sangli, Maharashtra, India","Shivaji University, Maharashtra",Not Working,5ft 4in,SMF1556937,Hindu
"Belong to a educated, respectable, loving and God fearing family. My hobbies are singing, music, reading, nature. Believe in live and let live. ",48,Catholic,"Anand, Gujarat, India",Gujarat University,Private Sector,5ft 1in,SMF1536157,Christian
"Very simple, kind hearted, loving and caring person. Looking for a friend cum companion for life time who is spiritual, believe in destiny and God. ",48,,"Indore, Madhya Pradesh, India",,,5ft,SMF1523139,
"Am a dynamic good fearing person, working in a senior position, as an asst. director in a reputed hospital in Mumbai. My birth place is Kampala, Uganda. Came to India on a transfer of residence & ever since lived in Mumbai. Education is completely in Mumbai, basically studied microbiology & then hospital administration from TISS. I believe in destiny but the effort is always one hundred percent. Life is beautiful & am looking for a partner who can make this journey more interesting and fun. I have worked in a hospital for many years & have realized the value of simple things & good  health. Am looking for a person is educated, well settled, good personality & yes a happy person. ",48,Kshatriya,"Mumbai, Maharashtra, India","Tata Institute of Social Sciences (TISS), Mumbai",Private Sector,5ft 6in,SMF1538993,Hindu
"Seeing for an ideal mate who is serious minded, honest, sincere, caring and affectionate. looks is less important but must be loving, caring honest and affection. ",48,Ezhava,"Mumbai, Maharashtra, India",Anna University,State Government,5ft 4in,SMF1522843,Hindu
"Intelligent, articulate, compassionate, witty, hardworking, caring person; from a well knit family & having a daughter. Preferred match should be well settled, understanding & compassionate person.",48,Brahmin,"Oklahoma City, Oklahoma",,,5ft,barf1350904,Hindu
"I am 46 years old, broadminded, good looking, upper middle class, decently employed person, have one son, affectionate, have interest in all good things in life, enjoy life. Seeks broadminded, affectionate, highly rich minded life companion.",48,Chettiar,"Chennai, Tamil Nadu, India","Other College, Osmania University, Hyderabad",Central Government,5ft 3in,SMF1428730,Hindu
"I am qualified, presentable, good looking, smart lady & working as a Public Relation Manager. My friends describe me as smart, confident, go-getter, witty & many more. My interests include music, handicraft, decoration & social work. I prefer reading magazine, newspapers, & any books. My favorite sports are cricket,  tennis. My family is traditional With a modern outlook.I am looking for someone who is a good human being, who can be good fried too. He must be qualified, well settled, smart & presentable & committed.",48,Kayastha,"Bardhaman, West Bengal, India",Other General University,Private Sector,5ft 3in,SMF1419651,Hindu
"I would describe myself as a liberal, caring and friendly cool woman who is easy going in her relation with people. I am looking forward to meeting somebody who is looking for friendship, companionship and affectionate loving relation with their partner.",48,Brahmin,"Banbury, Oxfordshire",,Others,5ft 1in,SMF1452173,Hindu
"Loving, sincere and caring person without any pretention. I believe to be true to oneself is the greatest challenge for any human being and both of us can celebrate life to the full if this truth is discovered. That is the true God experience as well.I can never say a lie nor live with it.
I love to travel, read good books, spend time watching the sea, nature etc along with my soulmate if I find one. All my life I was doing free service with a group of nuns and last 6 years I am alone working in an International school in India. I am liberated in many ways I think. No more regrets in life but only grateful to God for the journey He allowed me to go through. Wish to find a sincere person with whom I can live and celebrate my life meaningfully and joyfully.",48,Others,"Painaw / Idukki, Kerala, India",,,5ft 3in,paif1205470,Christian
"Looking for alliance from divorcee girls of nair / menon/nambiar, with job or without job.  even one issue can also be considered.  interested parents may contact at the details given in the profile.  more details can be had over phone or personally",48,Nair,"Bangalore, Karnataka, India",Indira Gandhi National Open University (IGNOU),Public Sector,5ft 1in,SMF1554626,Hindu
"Hi!! Vijaya here. 
I am a mature and understanding woman, who believes in living life to the fullest. 
The experience was of first marriage was very harsh-my partner was physically abusive, and did not provide the emotional support to my children, which they deserved. However, I was able to put my past behind it. 
My family-which consists of my brothers, my sister and parents, were very supportive of me. It is due to their support that I was able to raise both my children in a manner that I can be happy about. My daughter is now on her feet, she is working with a reputed IT firm. My son is appearing for his board exams. 
I will be very happy to accept his family (or children), and provide the same level of affection and care that I am looking for. 
I am a very good cook, I am well-organised, and have a creative instinct. All these qualities have helped me to run my small family happily all these years. I am a God-fearing person, and firmly believe that He guides us at every step. Whatever problems I have faced, I have been given the strength to fight them. And because of His kindness, I believe in counting my blessings, and being happy about them. 
REQUSTED- 
Your latest photo will be appreciated and thank you in advance. 
Thanks. 
",48,Chambhar,"Ahmednagar, Maharashtra, India",,Others,5ft,punf991064,Hindu
"good,smart.normal,heighted.fair,normal.healthy.shy.salient.fond of cricket.watching movies,shopping in malls visits  for foreign countries,down to earth good mannered......",48,Brahmin,"Ahmedabad, Gujarat, India",,State Government,5ft 2in,ahef1352990,Hindu
"I am a very emotional person, likes cooking, watching movies, etc. ",48,Maharashtrian,"Mumbai, Maharashtra, India",,Not Working,5ft 1in,mumf1363610,Hindu
"Lord Krishna is whom i turn to for everything in my daily life , but i do try and follow every festival as much as i can . But I respect all religions and faiths. For a relationship to be successful, it must be based on mutual understanding. Just as I donÃât expect my partner to blindly follow my faith, he too should give me the space to follow mine.",48,Velaan/Vellalar,Others,,,5ft 4in,othf1240537,Hindu
"I am a cheerful and positive minded lady, divorced with no kids. A east and west blended personality and believe in living life to the fullest all in good faith. ",48,Khatri,"Mumbai, Maharashtra, India",,,5ft 5in,othf840023,Hindu
"Hi, I am very simple and good looking female living in mumbai. separated and staying with my mum. i would like to find a soul mate who is humble, educated and trustworthy. should have his own house.. ",48,Others,"Mumbai, Maharashtra, India",,,5ft 2in,mumf1309426,Christian
"Down to earth, hopeless cook,survive, fun loving, love traveling, friendly,soft spoken, like to spend quiet evenings in the open air and beaches. Reading is my most favorite pastime and good family values. ",48,Catholic,"Bangalore, Karnataka, India",Other General University,MNC,5ft 7in,banf343263,Christian
"I am a smart & good looking lady.
I love singing,reading.watching movies, making good food.
I love fitness & money.
I love my parents.
I like neatness.
My ambition get sucess in every walk of life
",48,Arora,"Allahabad, Uttar Pradesh, India",,,5ft 3in,allf302222,Hindu
"She is beautiful and has a pleasant personality. Hard working and helpful. She has excellent communication skills.
works in Mumbai for a very well known FMCG company as an officer. She is a great cook and a wonderful person. She is a family oriented person. Expectations from a life partner would be someone who is loving, caring and honest. I love to spend my time in cooking and reading and involving in activities .I love traveling that helps me to discover new things. I am cheerful and positive outlook for life. I believe in the principal keep moving forward as life has the best in every stage. 
",48,Catholic,"Mumbai, Maharashtra, India",,MNC,5ft 6in,veronin,Christian
"My sister simple 5'3"" music lover god fearing good singer good cook of non veg & veg items good dancer long hair cute in looking kind hearted jolly working in a Hotel management institute as a librarian",48,Brahmin - Bengali,"Dehradun, Uttaranchal, India",Indira Gandhi National Open University (IGNOU),Private Sector,5ft 3in,dehf214386,Hindu
"Hi, few words about me...am a simple and self made person. hard working and fun loving. am known for my caring and loving nature. friedly and spiritual. Love nature, explore cooking (not a good cook though) evening walks, music and meditatin.",48,Catholic,"Mumbai, Maharashtra, India",,Private Sector,5ft 8in,mumf1130616,Christian
"Here to find a companion to spend the rest of my days. I am not looking for a husband, but more like a friend and partner to share my life and put an end to this loneliness. Have been divorced for over 20 years now from my alcoholic ex-husband. ",48,Nair,,"Calicut University, Kerala",Private Sector,5ft 4in,SMF1597494,Hindu
"Hi, I am divorcee looking for  the FRIEND to enjoy my life  , in all walks of it's journy. I am quite optimistic and believe in GOD and myself. I like to live in present , forget past and dream for future.  ",48,Brahmin,"Pune, Maharashtra, India",,,5ft 2in,punf922523,Hindu
"I'm an Engineer (Electrical & Electronics) and is currently employed as a Software Developer. 

",48,Brahmin,"Bangalore, Karnataka, India",,MNC,5ft 3in,Spurthi_5047,Hindu
"I am simple and good looking girl, working in Govt undertaking sector and I am living with my brothers. Parents are no more i am looking for good harted life partner.",48,Others,"Bangalore, Karnataka, India",,,5ft 2in,banf1114114,Christian
"We are belongs to Gujrati Brahmin family having 5'4"" height, no spect, diet veg, home loving, down to earth, beliving in family values, fun loving, hobbies are reading, cooking , playing, travelling and many more, M.Com. LLB. working in Bombay based pharmaceutical company at respectable position. Also caring and having fair complexion and many more.",48,Brahmin,"Rest of Gujarat, Gujarat, India",,Private Sector,5ft 5in,desai_daxsur65,Hindu
"In short, i am a open minded, modern, fun loving and caring person. Family and society values are important to me as long as they are not restricting for individual growth.I believe in living at the moment to the fullest and not worry too much about what is in the future. I like to travel, read & learn about different culture. I appreciate Fine & stylish things with touch of elegance in life even though i am a normal casual person in general. Honesty and humanity in a person is important for me to be able connect. ",48,,Others,,,5ft 2in,othf477842,Hindu
"Am god fearing, loving, caring, affectionate, sincere, honest, loyal, social, understanding, smart, family oriented, young, good looking and self sufficient. I like music, nature and traveling. I wish to have a peaceful and enjoyable life. Am working as a Class II Gazetted officer in a central Govt. dept. I have one son, who is very affectionate, loving and friendly. My parents and my sister's family are settled in Chennai.",48,Catholic,"Chennai, Tamil Nadu, India",,Central Government,4ft 11in,chef1045424,Christian
"I am an honest, fairly ambitious, and well settled and caring lady. I am looking for a like minded gentleman, up to age 50,  preferably from Mumbai. Should first be a best friend and confidant, and very family oriented and caring. Preferably a post graduate, but at least a graduate, he can be a Parsi on non-Parsi, who is liberal in his outlook.  Each of us should support the other in their respective occupations.  The journey of life should be lived together, with joy and fulfillment of our dreams - and we should also live life for each other, as well as make the difference to our planet Mother Earth.",48,,"Mumbai, Maharashtra, India",,MNC,5ft 2in,mumf175167,Parsi
"I like to go to see diff places, love to see movies listen to the musicand go out for dinner indian and american. likes to go to socialgathering and parties.",48,Brahmin,Others,,,5ft 7in,souf141289,Hindu
"Hi i am science graduated corporate lady with dignified status. I have two children, son of 27 yrs and daughter of 25 yrs, very well educated, living together as a nuclear family with great family bonding. ",48,Vaishnav,"Mumbai, Maharashtra, India","Shivaji University, Maharashtra",Private Sector,5ft 3in,SMF1576945,Hindu
"I am simple. Want a guy that should believe in joint family living with parents.I am a financial consultant doing my own business.I love reading, watching movies and traveling.",48,Brahmin,,,Others,4ft 11in,kaumudijoshi_in,Hindu
,48,Sikh - Khatri,"Gorakhpur, Uttar Pradesh, India",Meerut University,Private Sector,5ft 3in,SMF1548230,Sikh
"i daxa mavani from gujrati my hobby is traveling, old song and old moovi i like is punjabi food and coldrinks and i like is long drive and my life style is simple",48,Sonar,"Jamnagar, Gujarat, India",,Others,5ft 1in,dipa_soni2000,Hindu
"I am a practising physician living in Long Island , NY.I went thro' a bad marriage. I have a 9 yrs. old beautiful daughter. I like to start over my life with an honest , simple and well established person. I am the only child of my parents . My family is a very loving and well knitted family. I am a US Citizen.",48,,,,,,abc12322_in,Hindu
"Being a human, like to be a goos humanbeing. Accepting other also having capability of good human nature. Positivity in life is only answer. with love verything is possible.",48,Brahmin - Anavil,"Mumbai, Maharashtra, India",,,5ft 3in,mumf1042596,Hindu
"Am a caring, loving, easy going, sincere and honest lady. Reliable, responsible, warm, and generous. Hate lies, dishonesty and laziness. Would love to have a partner who shares my wavelength, matches my ideals.",48,Sunni,"Indore, Madhya Pradesh, India","IIT, Mumbai",Others,5ft 4in,SMF1546503,Muslim
"My sister is beautiful,Dharmik,cultured,likes travelling,cooking,teaching,singing etc. she is of sound moral character, sensible. She has Father - retd. Civil Engineer, Mother- house wife, Sister1- mechanical engg.married has a son, Brother - younger ,System Engineer,,Msc(chem.) PR.in Canada doing job.",48,Brahmin - Deshastha,"Vadodara, Gujarat, India",,,5ft 4in,Gurujii,Hindu
"A simple, caring person,look very young than age, have respect for old values but with a modern outlook, like to spend rest of life with a broad minded, understanding soulmate",48,Hindu-Others,"Bangalore, Karnataka, India",,,5ft 4in,0006711576,Hindu
,48,Sunni,"Ludington, Michigan",Other Medicine/ Dental Institute,Not Working,5ft 3in,SMF1510359,Muslim
"US raised and born Indian Female is in search of her prince charming, best friend, soulmate, and confidant all rolled up into one person.  I've been blessed with a wonderful family and am looking for someone to complete me and to become a member of my family and vice versa.  Parents are originally from Patna, Bihar, where many family members still reside.",48,Yadav,"California, Pennsylvania",,,5ft 5in,radar_girl,Hindu
"Simple, straight forward person, would like to meet a like minded guy, cheerful, wishes to live happily ever after, loves to travel.  ",48,Kshatriya,,,Public Sector,5ft 3in,SMF1560027,Hindu
"Not good to boast for self! But have to tell about myself: well grounded, straightforward, value human values and am practical too in this KALYUG. Do have a great sense of humour in a big heart and head firmly on my shoulders.",48,Arora,"Delhi, Delhi, India",,,5ft 2in,delf1362579,Hindu
hii am simple sobbersimple living high thinking nature lovinglove to travelrest info later on once get the perfect match i am looking for some one who has a moral value simple sobber caring know how to live a happy life,48,Agarwal,"Delhi, Delhi, India",,Not Working,5ft 3in,SMF1389550,Hindu
"Meena is an affectionate, respecting & good natured girl with strong family values. She is 5ft 2 inch tall,  and good-looking.  During her spare time she likes to go out with friends for movies, hikes etc. She likes Indian Classical music, watch Indian and English movies or just spend time with the family. She has a masters degree and works as software consultant. She is currently working & would like to pursue a career in life.  Her's is an educated, very well respected family. Her whole family is settled in USA. ",48,,"California, Pennsylvania",,,5ft 2in,meepat,Hindu
"Foreign trade profnl- a mix of tradition and modern.positive outlook in life - strong family values.enjoy-reading,watching movies,travel...Value commitment.",48,,"Delhi, Delhi, India",,,5ft 5in,delf288397,Hindu
I am emotional lady try to find out someone who will give the value of my emotion and also protect me in all circumtances. Not only respect my feelings also share his all feeling to me.,48,Bengali,,,Others,5ft 2in,krif887929,Hindu
"i am self dependent, staying with my two childern 13 yrs daughter, 9 yrs son. good relation with my inlaws. prefered well settled,serviceman or businessman, married, divorced, doesn't matter",48,,,,Private Sector,5ft 2in,anju_o,Hindu
"good natured, cultured person. Good looking, smart, born and brought up in small cultured family. Looking for well educated bachlor from a good family background. Well educated and well-settled persons cn apporoach with all family and professional details",48,,,,State Government,5ft 1in,bride07,Hindu
