aboutText,age,caste,city,college,employedIn,height,profileID,religion
"I am an issueless divorcee. I am a human with fine values, intellectually oriented, matured, caring and understanding. I am a gold medalist and have brilliant academic records and practice yoga and prefer reading, listening to music, blend of both traditional and modern in dressing, is sophisticated and presentable.",46,Bunt (Shetty),"Mangalore, Karnataka, India",,Private Sector,5ft 5in,SMF1656826,Hindu
I am a simple girl with good values and a beautiful smile. I don't say that others compliment me. Keep calm in all situations and dont overreact. ,46,Catholic,"Pune, Maharashtra, India",North Maharashtra University,Not Working,5ft 4in,SMF1644655,Christian
"Am a widow. Very simple and adjustable person. Seek a secured life, so looking for a partner who can walk together in the rest of my life. ",46,Vokkaliga,"Mangalore, Karnataka, India",Mangalore University,Not Working,5ft 3in,SMF1697629,Hindu
"She is beautiful, confident with fair complexion, pleasant personality. She is very accommodating, and has travelled many countries, speaks Hindi & Oriya mainly, also speaks English & understand Bengali, Assamese. She is a person with high moral & family values. Jolly in nature & cool headed. We are looking for a well settled match who would like to take responsibility of her & her daughter's happily. ",46,Brahmin,"Delhi, Delhi, India","Berhampur University, Orissa",Central Government,5ft 3in,SMF1672789,Hindu
"I am a Methodist christian Punjabi. My hobbies are cooking, watching comedy movies and socializing with my friends. I have completed my aspirations by becoming a lecturer and love my job. ",46,Others,"Patiala, Punjab, India",Punjab University,State Government,5ft 2in,SMF1676832,Christian
"I am a simple person with a blend of Indian and Western culture. Looking for a well settled man, someone who is ready for commitment & a life time relationship. ",46,Shewetamber,"Chennai, Tamil Nadu, India",,Others,5ft 2in,SMF1584756,Jain
"A simple, down to earth personality, having an independent approach to life, yet homely oriented. love to enjoy life, love to travel, love music and the have the most simple interests in life. A very caring, affectionate soft spoken or all. A charismatic personality yet so full of simplicity. A perfect blend of emotional intellectual and moral qualities is what makes her distinctive. ",46,Agarwal,"Chandigarh, Chandigarh, India",Punjab University,Not Working,5ft 3in,SMF1588779,Hindu
Am doing business in Chennai. Have my own house at Kodambakkam.,46,Scheduled Caste,"Chennai, Tamil Nadu, India",,Others,5ft 10in,SMF1573601,Hindu
"I am simple, gentle and soft spoken person, love traveling and sight seeing. Love dancing and music, quite artistic, ethnic taste in terms of clothes. ",46,Sunni,"Singapore, Singapore (general)",Other Business Institute,Private Sector,5ft 3in,SMF1610177,Muslim
Calm and very outgoing personality. Love antiques and traveling. Very down to earth and love children. For me Real love has no limit and rules. Real love comes and you feel it and get hold of it. It sticks with you and be a part of you till the end of time. But not everyone knows that. ,46,Brahmin,"Kuala Lumpur, Kuala Lumpur",All India Management Association (AIMA),Central Government,5ft 4in,SMF1593170,Hindu
