aboutText,age,caste,city,college,employedIn,height,profileID,religion
"My daughter Archana is beautiful, intelligent, spiritual, honest and hard working girl. ",26,Yadav,"Hoshiarpur, Punjab, India",,Not Working,5ft,SMF1758814,Hindu
"She is full of life, down to earth. She has a modern outlook, at the same time grounded and respect the the values inculcated since childhood. She is very much career oriented and looking for a partner who not only understands her, respect woman but supports her and stand at all times besides her.",26,Brahmin - Pandit,"Singapore, Singapore (general)",,Private Sector,5ft,SMF1758359,Hindu
She is very calm and intelligent girl. She loves to cook. She has done B.Ed. She can be working/non-working after marriage depends on situation.,26,Baniya,"Faridabad, Haryana, India",,Private Sector,5ft 5in,SMF1758245,Hindu
"Soumya is a simple, good natured and god fearing girl. She did her schooling from both abroad and India. She graduated from a government medical college in North India.",26,Catholic,"Delhi, Delhi, India",,Private Sector,5ft 3in,SMF1758892,Christian
"Myself Himani sharma, belong to a middle class family. I have done MA in English literature. Now doing LL.B and this is my final year of law. After that, I will continue my studies for bright future. I am a very simple girl but a broad-minded girl. ",26,Brahmin,"Meerut, Uttar Pradesh, India",,Not Working,5ft 5in,SMF1757630,Hindu
Succesful Professional working as a Doctor. Dedicated towards serving people and the nation.,26,Yadav,"Anantapur, Andhra Pradesh, India",,Private Sector,5ft 3in,SMF1758018,Hindu
"Hi, we are interested in your son's profile. Kindly check our daughter's profile. She is doing MBA in HR and has completed her B.TECH IT in 2010. She is currently working in Delhi in an IT firm. We are looking forward to get a better guy for her so that we can set them till next year.  ",26,Brahmin,"Lucknow, Uttar Pradesh, India",,Private Sector,5ft 4in,SMF1757179,Hindu
"She is outgoing, friendly, happy & joyful person. She is dedicated to her work also.",26,Catholic,"Chennai, Tamil Nadu, India",,Private Sector,5ft 5in,SMF1757719,Christian
"Our daughter is a very strong girl with well maturity towards life, coming to family and friends she is sensitive, attached. Her nice attitude makes every one around pleased, with pleasant environment. She is friendly, soft person at heart, jovial with friends, she respects elders, others opinion, she is a good listener , coming to culture she had grown up in such a way to posses cultural, traditional and semi-modern values.",26,Kamma,"Hyderabad, Andhra Pradesh, India",,Not Working,5ft 3in,SMF1755443,Hindu
"Presently doing MBA. I have done my schooling from Brightlands school, Dehra Dun. Presently living with my parents in Dehra Dun
",26,Brahmin - Kumoani,"Dehradun, Uttaranchal, India",,Private Sector,5ft 3in,SMF1756200,Hindu
