aboutText,age,caste,city,college,employedIn,height,profileID,religion
"I am elder son in my family and there are four members in my family: mom, dad and younger brother studying in 10th. Am working with the tour & travels company.",22,Khatri,"Ghaziabad, Uttar Pradesh, India",Indira Gandhi National Open University (IGNOU),Private Sector,5ft 5in,SMM1759725,Hindu
"I am Amar Kumar Bharti. I live in one of the most beautiful cities of India, New Delhi. I was born in Nawada, Bihar. I have spent my entire childhood, schooling and college too in Ranchi, Jharkhand. ",22,,"Delhi, Delhi, India",,Private Sector,5ft 7in,SMM1760867,Hindu
My name is Sushen Sharma. I reside in East Delhi. I am very kind and down to earth person. ,22,Brahmin,"Delhi, Delhi, India",,Others,5ft 10in,SMM1757727,Hindu
"I am honest, simple but fun loving. I like new places, fast food, watching movies etc.",22,Sindhi,"Bhilai, Chhattisgarh, India",,Not Working,5ft 7in,SMM1756601,Hindu
A person with positive attitude.,22,Protestant,"Kakinada, Andhra Pradesh, India","Jawaharlal Nehru Technical University (JNTU), Hyderabad",Not Working,5ft 6in,SMM1755593,Christian
I am Suresh kumar and am Software Engineer by profession. ,22,Kashyap,"Bahraich, Uttar Pradesh, India",,Private Sector,5ft 2in,SMM1752530,Hindu
"I am well ,decent and jovial person with well understanding nature. ",22,Velama,"Vizianagaram, Andhra Pradesh, India",,MNC,5ft 4in,SMM1753124,Hindu
I believes in simplicity and carefulness. I have completed my B.E.(Chem) from Ahmedabad in year 2012. Now working as process/production Engineer in Aditya Birla Group. Am looking for a family caring and good understanding life partner.,22,Patel,"Surat, Gujarat, India",,MNC,5ft 8in,SMM1753006,Hindu
I'm very simple and cool minded boy.,22,Sunni,"Mumbai, Maharashtra, India",,Not Working,5ft 8in,SMM1742572,Muslim
"I'm an enthusiastic young guy. I like to help peoples, traveling, exploring new destinations. I believe in myself. I'm a construction contracting consultant. I always carry a positive attitude in myself I do only what I want to do or what I want to achieve. I don't care for the peoples what they said or what are their opinions because I have faith in my parents.  ",22,Brahmin,"Rest of Delhi, Delhi, India",,Private Sector,5ft 5in,SMM1747549,Hindu
"I am a very simple, straight forward and down to earth guy from a lower middle class family, looking for the partner of same nature.",22,Brahmin - Maithil,"Mumbai, Maharashtra, India",,Private Sector,5ft 8in,SMM1741423,Hindu
