aboutText,age,caste,city,college,employedIn,height,profileID,religion
"I am well settled architect working as a senior architect with reputed firm & strongly running my own architectural practice, living with my family. I am looking for an intelligent and good looking girl. ",26,Sikh - Ramgharia,"Chandigarh, Chandigarh, India",,Private Sector,6ft,SMM1759863,Sikh
"B.Tech, IIM MBA and employed in Public Sector in Delhi as Manager. In family: Father (in service), Mother (Home Maker), Sister (Married) working as teacher in govt school. ",26,Scheduled Caste,"Delhi, Delhi, India",,Public Sector,6ft,SMM1759699,Hindu
Working as a system software Engineer with Hewlett Packard India R&D. Working in Bangalore since 2008. Very cool person giving importance to family values.,26,Others,"Bangalore, Karnataka, India",,MNC,5ft 11in,SMM1760225,Christian
"Hi, I am Harsha. I am jovial person and love to travel.  

I am looking for a Educated and Independent person with Modern values.  

My hobbies are movies and music.",26,Kshatriya,"Hyderabad, Andhra Pradesh, India","NIT/ REC, Warangal",MNC,5ft 7in,SMM1759997,Hindu
My name is Sanjeev. Working in Dubai as a Logistics Coordinator in Landmark Group.,26,Dheevara,"Dubai, Dubai",,MNC,5ft 11in,SMM1760048,Hindu
"I am a person who is positive about every aspect of life. There are many things I like to do, to see, and to experience.",26,Brahmin - Kanyakubj,"Rewa, Madhya Pradesh, India",,Private Sector,5ft 11in,SMM1760215,Hindu
"Hi, I work as a Technical Consultant engineer in Honeywell. I have done my engineering in Electronics & Telecommunication. I have completed my MBA this year in operations management. I am smart, handsome and fun loving guy. My hobby is reading technical literature, news, listening to song and swimming. I always look towards up skilling my knowledge and capabilities. My parents live in Patna with my younger sister.  ",26,Gupta,"Gurgaon, Haryana, India",,Private Sector,5ft 11in,SMM1759613,Hindu
"I am a simple yet modern down to earth guy and i am looking for a likewise girl with similar mindset and attitude. I believe in strong family values and i respect elders a lot. I believe in living life to the full. I like adventure sports.I am computer geek also. I love doing gym and body building. Right now i am working in a local engineering college of my city as Lecturer and i am preparing for PSU entrances and Civil Services. My family is based in Jabalpur, MP. My father is SDO in Irrigation Dept, MP Govt and he will be retiring in 2016. My mom is a housewife. Me and My dad, together we both run our family's real estate business. We have a good amount of property in my home town Jabalpur. The nature of our real estate business is that we run boys hostels, family flats etc which we rent. I plan to settle down with my parents only here in Jabalpur, so the girl with whom i would marry will also be required to settle down here in Jabalpur. Our family is modern yet connected to its roots and rituals. We are strictly vegetarians, non smokers and non drinkers. My family enjoys high social reputation here in the jabalpur city. ",26,Brahmin,"Jabalpur, Madhya Pradesh, India",,Private Sector,5ft 11in,SMM1758748,Hindu
"Adventure, Photography, Traveling, X-Treme sports, just a few of my serious interests. Born in Saudi Arabia, grew up in Malaysia but originally from India. Youngest son, with 6 married siblings. Fourth year student in Mechanical Engineering, will work in Malaysia after graduation Inshallah. Looking for a decent, educated girl from India.",26,Sunni,"Kuala Lumpur, Kuala Lumpur",,Private Sector,5ft 3in,SMM1758759,Muslim
"I am an honest, straight and jolly person. Working in Gurgaon in an MNC company. ",26,Arora,"Delhi, Delhi, India",,MNC,5ft 7in,SMM1758604,Hindu
