aboutText,age,caste,city,college,employedIn,height,profileID,religion
"I am a very glamorous lady with spiritual thoughts. Have worked for hotel industry for 34 yrs. Staying with a son. would love to have a partner who can understand me and lead rest of life with peace. Love to go for outing, parties, movies. Love gazals and soft music.",54,,,,Private Sector,5ft,SMF1753548,Hindu
This is Akshayaa. I have done my B.Tech(ETC) and MBA(Mrkt) and currently doing SAP. ,75,Rajput,"Bangalore, Karnataka, India",,Public Sector,5ft 4in,SMF1729842,Hindu
I'm a HR professional with practical approach. Like to keep work life balance. ,56,Rajput,"Noida, Uttar Pradesh, India",,Public Sector,6ft,SMF1759336,Hindu
I belong to a reputed cultured Gujarat family.,51,Shewetamber,"Mumbai, Maharashtra, India",,Others,5ft 4in,SMF1742903,Jain
I am a retd Geologist having one son and a daughter. Son is married. Looking for a groom for daughter. Daughter is B.Tech & serving as an IT professional in Bangalore. Looking for a Bangalore based with similar qualification. ,60,Brahmin - Halua,"Bhubaneshwar, Orissa, India",,Others,5ft 7in,SMF1734942,Hindu
"I WAS BORN IN MALLESHWARAM IN BANGALORE IN KARNATAKA STATE AND DID MY EDUCATION IN MUMBAI. I STUDIED UPTO INTER-SCIENCE, PASSED OUT FROM THE NATIONAL COLLEGE BANDRA IN MUMBAI. I DID A TECHNICAL COURSE IN FILM - MAKING. I AM 60 YEARS OF AGE, 5'7"" IN HEIGHT, FAIR AND GOOD-LOOKING. ",61,Bunt (Shetty),"Mumbai, Maharashtra, India",Other General University,Others,5ft 7in,SMF1727840,Hindu
"AM BASED IN PUNE AND LOOKING FOR a GROOM FROM PUNE WHO IS WELL SETTLED, AM A WORKING WOMAN AND WANT A PARTNER WHO IS WORKING AS WELL. I WOULD LIKE TO HAVE A PARTNER ON WHOM I CAN TRUST AND LIFE THROUGHOUT MY LIFE.",53,Catholic,"Pune, Maharashtra, India","Other College, Pune University",Private Sector,5ft 6in,SMF1691306,Christian
"Broad minded, very social, jovial, friendly and loves family life.",54,Brahmin - Madhwa,"Bangalore, Karnataka, India",,Not Working,5ft,SMM1723471,Hindu
She is unmarried and wish to settle down with someone with whom she can share the rest of her life. She is having Vitiligo (Leucoderma). She is a talented cook and well versed with fine arts. Currently she is working as a supervisor in Command Canteen.,51,Kayastha,"Lucknow, Uttar Pradesh, India",Lucknow University,Others,5ft 3in,SMF1687540,Hindu
"We r reputed and known family settled in India and USA. She is very fair, slim, pretty and well travelled person. ",58,Brahmin,"Mumbai, Maharashtra, India",,Others,5ft 2in,SMF1726288,Hindu
I am a friendly and down to earth person who likes spending time with family and friends. ,53,Brahmin - Havyaka,"Bangalore, Karnataka, India",,Public Sector,5ft 2in,SMF1683663,Hindu
