aboutText,age,caste,city,college,employedIn,height,profileID,religion
"Am a Scientific assistant in Tuticorin, Tamilnadu. Am a divorcee having 7 yrs old boy staying with me. ",31,Devar/Thevar/Mukkulathor,"Thoothukudi, Tamil Nadu, India",,Central Government,5ft 10in,SMM1760349,Hindu
"My son is a successful professional, working with the well known Publishing House as Sr. Project Manager. We are a family of five. I (father) am a businessman deals in electric goods. My wife is a homemaker. Elder son is a CA and working with ICICI Bank as a ZCM and his wife is a CS/LLB working with MVL Tech. ",31,Khandelwal,"Delhi, Delhi, India",,MNC,5ft 6in,SMM1760456,Hindu
"I am the only son of my parents and have grown up in a lot of places within India. I am currently working as a corporate lawyer in a law firm based in Mumbai.  I am a fun loving, humorous, simple and down to earth person.",31,Brahmin,"Mumbai, Maharashtra, India",,Private Sector,5ft 7in,SMM1758989,Hindu
"A simple, fun loving & religious person. I want a girl who is religious who respect family values, respect elders knows how to treat people in a good & positive manners.",31,Khatri,"Ghaziabad, Uttar Pradesh, India",,Private Sector,5ft 9in,SMM1758678,Hindu
"My brother is sensitive, caring & lovable person. ",31,Brahmin - Bhumihar,"Lucknow, Uttar Pradesh, India",,Others,5ft 8in,SMM1758413,Hindu
"I am simple, fun loving and easy going. Working in an MNC at Bangalore. Living with Mom and brother is working in an MNC at Mumbai",31,Brahmin - Madhwa,"Bangalore, Karnataka, India",,MNC,5ft 8in,SMM1758270,Hindu
"Hi Srikanth is one among the twins. He is a very good guy with good habits and he was brought up from a very good family. We hail from a traditional family background. He is working in SBI Life Insurance, Chennai as a regional auditor drawing a salary of RS.35000 pm. He is a very caring and affectionate person. 
",31,Brahmin - Iyengar,"Chennai, Tamil Nadu, India",,Private Sector,5ft 7in,SMM1758692,Hindu
I am a fourth generation planter who owns an estate near Kodaikanal. I am hard working & caring too. ,31,Nadar,"Dindigul, Tamil Nadu, India",,Others,5ft 6in,SMM1758050,Hindu
He is working in MNC as Software consultant. He has two brother and one married sister. His father is working with govt sector and mother is house wife.,31,Scheduled Caste,"Muzaffarnagar, Uttar Pradesh, India",,Private Sector,5ft 8in,SMM1758380,Hindu
"My name is Ganesh . I like reading books. I can say that I am a responsible and a hard-working person. Moreover, being a sociable person, I have many friends since I like to communicate with people and get to know new interesting individuals. I enjoy my time at home family. Am looking for a decent Girl who can be my better half, who can respect elders and take care of my son.

",31,Scheduled Caste,"Thane, Maharashtra, India",,Private Sector,5ft 6in,SMM1757595,Hindu
Completed Diploma in Finance Management (D.F.M). and PGDBA (Finance Management) from Welingkar Institute of Management. Now doing SGM (specialization in General Management). Right now i m working with reputed MNC as an account executive.  ,31,Maratha,"Mumbai, Maharashtra, India",Mumbai University,Private Sector,5ft 6in,SMM1756495,Hindu
"I am a printing engineer from PVG's COET, Pune University and MBA in Operations Management. I am running a start-up. ",31,Brahmin - Deshastha,"Pune, Maharashtra, India",,Others,5ft 6in,SMM1758652,Hindu
"I am witty, handsome and confident, modern boy, belongs to a upper middle class family, having own house and doing my own business. My mother is a homemaker,  have 2 brothers and 1 sister.",31,Jat,"Delhi, Delhi, India",,Private Sector,5ft 9in,SMM1755981,Hindu
My brother is very good in nature. ,31,Tamboli,"Kolkata, West Bengal, India",,Private Sector,5ft 11in,SMM1756844,Hindu
"Prashanth is a soft spoken, friendly and fun loving person with a liberal outlook towards life. He is caring and respects elders. We are looking for a girl who is a friendly and homely person and can get along well with other members of the family. ",31,Brahmin - Madhwa,"Bangalore, Karnataka, India",,Private Sector,5ft 5in,SMM1755783,Hindu
I am a simple and easy going person. Like simplicity and happy to help others. ,31,Brahmin,"Stockport, Greater Manchester",,Private Sector,5ft 6in,SMM1755159,Hindu
"I am looking for a girl for my son who is in Canada. He has gone there to study MS Network and got a good placement. He has got PR. He worked in DELL, for few years and HCL too. He will be in Canada for few years. ",31,Brahmin,"Moncton, New Brunswick",Other Engineering Institute,Others,5ft 6in,SMM1755660,Hindu
I am a polite and co-operative boy and am looking for a soft nature life partner.,31,Kumhar,"Sirsa, Haryana, India",,State Government,5ft 9in,SMM1755735,Hindu
"Fun, loving, easy going and simple person. ",31,Arya Vysya,"Hyderabad, Andhra Pradesh, India",,MNC,5ft 9in,SMM1756460,Hindu
My native is Goa. I have done MBA in International Business from India. I was working with the Export firm. Now I am working as a visiting lecturer for MBA students. ,31,Catholic,"Bangalore, Karnataka, India",,Others,5ft 5in,SMM1753061,Christian
"I have done my Masters and am currently associated with an MNC in Hyderabad. In my family, there is Mom - who is a homemaker, Dad - who is retired, and have a brother and a sister. We hail from Kanpur. As far as I'm concerned, my friends describe me as Ambitious, Caring, and Optimistic. In my free time i like Acting, Photography, Eating Out, Health & Fitness, Listening To Music, Movies, and Religion. ",31,Brahmin,"Hyderabad, Andhra Pradesh, India",,MNC,5ft 10in,SMM1753219,Hindu
My brother is very simple nd smart too. He is a kindhearted nd full of joy guy. He is highly educated nd down to earth guy. ,31,Kayastha,"Hardoi, Uttar Pradesh, India",,State Government,5ft 8in,SMM1752045,Hindu
