aboutText,age,caste,city,college,employedIn,height,profileID,religion
Our daughter is in Final Semester (B.Tech).  We are well settled in Bangalore (basically from Thirunelveli).  Looking for a god fearing soul mate for our daughter.,21,Catholic,"Bangalore, Karnataka, India",,Not Working,5ft 5in,SMF1727807,Christian
Am a very simple girl. Have done Salat of all time and read Hadis and Quran.,21,Sunni,"Patna, Bihar, India",Patna University,Not Working,5ft,SMF1718054,Muslim
"My daughter is good-looking, tall, convent educated, simple, caring, religious minded, fun-loving person with family values. Due to my husband's transferable job, my daughter has studied in many schools. She has recently completed her graduation with B.Sc in Statistics (Hons) from Kolkata and presently pursuing her Masters in Economics in distance education (IGNOU).",21,Brahmin - Kulin,"Kolkata, West Bengal, India",Indira Gandhi National Open University (IGNOU),Not Working,5ft 8in,SMF1714344,Hindu
"Am looking for a suitable partner, who can understand me and he should be loving and caring. Right now, I am a student, pursuing B.com. final year from Jaipur city. ",21,Sunni,"Kota, Rajasthan, India",,Private Sector,5ft 4in,SMF1714423,Muslim
"Am looking for a good someone, who can help my friend Mrs. Yasmeen. ",21,Sunni,,,Private Sector,5ft 1in,SMF1757177,Muslim
My daughter is doing her final year B.Tech. She is a responsible girl who has been brought up with traditional values. She loves pets. She has two elder brothers. Her father passed away 2 years ago. ,21,Brahmin -Gowd Saraswat,"Kochi, Kerala, India",,Not Working,5ft 5in,SMF1757347,Hindu
"Ankita is very simple, homely, gentle and down to earth girl. She is quite cute & very beautiful and is a complete homely person. She is born & brought up in Manendragarh, Chhattisgarh. Likes to cook food and house hold works as well as landscaping. She has a scar mark. Father of Ankita was Railway employee but due to accident he is no more, brother is working in place of father in Railways. We have own house and very known family. ",21,Kayastha,"Koriya, Chhattisgarh, India",Other General University,Not Working,5ft 2in,SMF1710439,Hindu
"She is simple guy, likes reading and music. She is doing jewellery designing.",21,Brahmin,"Rest of Delhi, Delhi, India",,Not Working,5ft 6in,SMF1755369,Hindu
Sports- Basket ball. Hobbies- Reading. Interested in service after marriage. Make use of Engineering studies.,21,Banjara,"Jalgaon, Maharashtra, India",Other Engineering Institute,Not Working,5ft 2in,SMF1713239,Hindu
I am an understanding person with a positive disposition. I am a good frank & smart girl and very simple. I know our responsibilities & know how to respect others. ,21,Kayastha,"Kolkata, West Bengal, India",Punjab Technical University,Not Working,5ft 4in,SMF1704889,Hindu
"My daughter is a God fearing and fun-loving girl. She is caring, organized and a great companion. She has completed her Engineering and is now working in a private firm. Her hobbies include reading and playing the piano. She respects her elders and believes in sticking to her moral values.",21,Protestant,"Chennai, Tamil Nadu, India",,Private Sector,5ft 8in,SMF1705219,Christian
"I am very understanding helpful in nature caring person and take care of my family very well I belong to a middle class family my family is very supportive helps me in every stage of my life and i am looking for a partner who will be very caring, understanding, loving nature, helpful, independent",21,Nair,"Palakkad, Kerala, India","Calicut University, Kerala",Not Working,5ft 7in,SMF1748767,Hindu
My daughter is  applying for IAS prelim and we are looking for boy who can understand my daughter and who can take responsibility.,21,Brahmin,"Surat, Gujarat, India",,Not Working,5ft 2in,SMF1729181,Hindu
"Enjoys reading about Islam, different cultures and current affairs. Learning Arabic and cooking Asian food from her mum. Also enjoys sometimes going out to restaurants, watching films, sports and exhibitions. With regards to her Islam, She does see it as a way of life and tries to follow / practice Islam to the best of her abilities - however she recognizes her mistakes, tries to learn and improve. She is a person with honesty, commitment, support, fun and to accompany you on this beautiful journey Life. ",21,Sunni,"Bellary, Karnataka, India",,Not Working,5ft 3in,SMF1745775,Muslim
"I am doing Diploma in Civil engineering and also prepared for LET. After graduation, would like to built up my career in Civil engineering field.",21,Thiyya,"Malappuram, Kerala, India","Calicut University, Kerala",Others,5ft 2in,SMF1705801,Hindu
"Am searching for a God fearing, good looking match for my elder daughter. We are middle class family and my daughter is doing Btech final year.",21,Sunni,"Alappuzha, Kerala, India","Mahatma Gandhi University, Kerala",Not Working,5ft 3in,SMF1710235,Muslim
"I am simple and loving person. 
",21,Khatri,"Delhi, Delhi, India",,Private Sector,4ft 11in,SMF1746283,Hindu
"She's very simple, homely & kindhearted girl having respect for elders.",21,Brahmin,"Kolkata, West Bengal, India",,Not Working,5ft 7in,SMF1708137,Hindu
"My daughter is a humble, brilliant, religious and a family girl. We want a simple boy for her who is Manglik, educated and family person. ",21,Brahmin,"Mumbai, Maharashtra, India",,Others,5ft 3in,SMF1737113,Hindu
"She is very silent, simple and lovable person. ",21,Nadar,"Coimbatore, Tamil Nadu, India","PSG College of Technology, Coimbatore",Not Working,5ft 1in,SMF1746427,Hindu
My daughter at present pursuing M.TECH (Electronics & Communication) in Mumbai. ,21,Brahmin,"Surat, Gujarat, India",,Not Working,5ft,SMF1732948,Hindu
"Myself a down to earth, very understanding, friendly, cute and caring person. ",21,Kurmi,"Bhubaneshwar, Orissa, India",,Not Working,5ft 4in,SMF1726663,Hindu
Neha is very simple living girl who love to spend her free time with family and friends.,21,Sonar,"Kolkata, West Bengal, India",,Not Working,5ft 6in,SMF1728626,Hindu
"""ASSALAAMUAALAIKUM-WA-RAHMATULLAHI-WA-BARAKATUHU"". WE ARE A FAMILY OF 5 BROTHERS AND 2 SISTERS AND THIS PROFILE IS FOR OUR YOUNGER SISTER. MY FATHER IS A RETIRED ""ASST. DIRECTOR"" OF ECONOMICS AND STATISTICS, HYDERABAD AND MOTHER IS A HOUSEWIFE. ""ALHAMDULILLAH"", OUR FAMILY IS A WELL EDUCATED FAMILY IN NIZAMABAD. WE ARE A RELIGIOUS FAMILY AND HAVE IMPORTANCE TO ISLAMIC VALUES. MY SISTER IS PURSUING MBA. ",21,Sunni,"Nizamabad, Andhra Pradesh, India",,Not Working,5ft 2in,SMF1727030,Muslim
I am a simple girl having respect for family values.,21,Valmiki,"Aurangabad, Maharashtra, India",,Not Working,5ft 6in,SMF1730439,Hindu
My sister is simple and good looking. Lives in Nadaun in Hamirpur distt. Now she is doing PGDCA. We are Radha Swami.,21,Scheduled Caste,"Hamirpur, Himachal Pradesh, India",,Not Working,5ft 3in,SMF1730711,Hindu
"My daughter migrated with us to Australia in the year 2000. She was studying in year 3 at that time. Rest of her schooling and higher education was done in Australia. She is now working full-time and studying part-time for CA. Our family is settled in Australia, and all our family members are Australian citizens. ",21,Brahmin - Iyer,"Perth, Western Australia",,Private Sector,5ft 6in,SMF1665124,Hindu
"I am a simple and traditional girl with moral values. 
  
",21,Agarwal,"Gorakhpur, Uttar Pradesh, India",Other General Institute,Not Working,5ft 1in,SMF1722704,Hindu
"We have a small family of 4.  Me,   my wife,  my daughter n my son.   We are belongs to middle class family.   I am doing business,   my wife is a home maker,   my son is an engineer.   My daughter is a smart,  beautiful,   educated,   hardworking,   honest,   responsible girl.   She is  very friendly,   caring,   adjusting n loyal.   She  is interested in music,   writing,    travelling.   She is also like to playing musical instruments.  
We are seeking alliance from a engineer,   banker,   officer or any well educated and well place person who is honest,   caring,   loving within 27yrs of age who will guide her in the next phase of her life n take care of her happiness as she will through good or bad times.",21,Kayastha,"Kolkata, West Bengal, India",,Not Working,5ft 5in,SMF1724532,Hindu
Am a fun loving person. Love to life life with family and friends.,21,Brahmin,"Hugli-Chuchura, West Bengal, India",Manipal University,Central Government,5ft,SMF1719881,Hindu
My sister is very polite and gentle. She is a graduate in English (Honours) and also pursuing M.A. in English from Burdwan University. She performs Salah five times a day. ,21,Sunni,"Howrah, West Bengal, India",,Not Working,5ft 3in,SMF1717053,Muslim
"My sister is smart, intelligent, sensitive, beautiful, God fearing & religious person. She has completed post graduation (M.Com) and have also completed PGDCA certification.
We are looking for someone who is mature, caring, loving, respectful, laid back personality and very easy to get along with.",21,Sunni,"Allahabad, Uttar Pradesh, India",,Not Working,5ft 8in,SMF1717344,Muslim
"Am a simple girl with kind and helping nature. Like listening to music, gossiping, shopping n hanging out with family and friends.",21,Thakur,"Delhi, Delhi, India",Delhi University,Not Working,5ft 5in,SMF1662659,Hindu
"I have completed B.A.(English Hons.) & diploma in computers & appearing in B.Ed. I am looking for a doctor person as a life partner who is MBBS or MD/MS from Bihar, Jharkhand, West Bengal or Uttar Pradesh.",21,Sunni,"Ranchi, Jharkhand, India",,,5ft 2in,SMF1708714,Muslim
"Am confident, loving n caring person who love to dance and listen music.",21,Brahmin,"Car Nicobar, Andaman and Nicobar, India",Other Engineering Institute,Not Working,5ft 2in,SMF1720100,Hindu
My daughter is Diploma holder in Computer science. She also did tally and is preparing for B.E Engineer.,21,,,,Others,5ft 2in,SMF1662942,Hindu
"Hi, am a Test Engg working in CTS. Am cool n kindhearted person.",21,Nair,"Chennai, Tamil Nadu, India",Other General University,MNC,5ft 2in,SMF1709274,Hindu
Am a fun loving girl and searching for a man who would love and support me in every phase.,21,Kayastha,"Tinsukia, Assam, India",,Not Working,5ft 2in,SMF1672337,Hindu
"I am Hena's brother, she is very intelligent, kindhearted and down to earth girl.",21,Sunni,"Howrah, West Bengal, India",,Not Working,5ft,SMM1687875,Muslim
"I am putting up this profile on behalf of my daughter. She has done her Bachelors from GVMC. We hail from Cheyyar. Her mother is a homemaker, father is retired, and has 2 brothers, 1 of who is married. Her friends describe her as Affectionate, Ambitious and Easy-Going. Her hobbies include Playing Musical Instruments.",21,Senguntha Mudaliyar,"Kancheepuram, Tamil Nadu, India",,Not Working,5ft 7in,SMF1685617,Hindu
"I am a sophisticated kinda girl with a simple heart. I have done my schooling from DAV Centenary Public School, Dhanbad. Graduated with honors in English from Women's college, Dhanbad. I believe in the blending up of Simplicity and Modernity. I am a bit stubborn but sweet at times too.",21,Chandravanshi Kahar,"Dhanbad, Jharkhand, India",Other General University,Not Working,5ft 3in,SMF1667130,Hindu
"My name is Nidhi Agarwal. I have completed my Bachelors in Commerce. I am currently working as an Accounting Professional and also as a Merchandising Manager in a pvt firm. My friends describe me as sweet and colorful girl with a jolly nature. My hobbies include watching films, reading books of law, cooking, gardening etc. ",21,Agarwal,"Agra, Uttar Pradesh, India",Agra University,Private Sector,5ft 3in,SMF1684676,Hindu
My daughter is currently pursuing her graduation final year in Bsc - Mass com Journalism and Advertising. ,21,Tili,"Kolkata, West Bengal, India",,Not Working,5ft 3in,SMF1643687,Hindu
"She is a science Graduate from MDU, Rohtak ie :- B.SC, B.Ed, Pursuing M.SC (Physics). She is very intelligent and vision to become lecturer in Government institution. She is very humble, dedicated & peace loving.   ",21,Sonar,"Rohtak, Haryana, India",,Not Working,5ft 2in,SMF1696239,Hindu
"My daughter is very good, innocent and beautiful. She has complete B.A from Delhi University and now living with us. Her father is employee of a private company and I am a house wife. We have 2 children's and looking for a perfect match for her.",21,Teli,"Delhi, Delhi, India","Delhi College of Engineering, Delhi University",Not Working,5ft 3in,SMF1669204,Hindu
"I'm a simple, honest, introvert, good looking girl, who is looking for a life partner.",21,Banik,"Rest of West Bengal, West Bengal, India",,Not Working,5ft 3in,SMF1707376,Hindu
"MY DAUGHTER IS CONVENT EDUCATED AND B.TECH IN CSE. SHE IS VERY FAIR, SLIM AND INTELLIGENT GIRL HAVING MODERN OUTLOOK AND RESPECT FOR OTHERS. ",21,Brahmin,"Delhi, Delhi, India",Others,Not Working,5ft 7in,SMF1687542,Hindu
Am a very simple and sweet girl. Looking for a partner who is loving and caring for me. ,21,Brahmin,"Delhi, Delhi, India","Delhi College of Engineering, Delhi University",Private Sector,5ft 6in,SMF1689638,Hindu
"My daughter is a lovable, adjustable girl. She is a good looking person and expect a well educated (B.E, M.E, M.S), good looking, broad minded person having good character. ",21,Jangam,"Chennai, Tamil Nadu, India",Anna University,Not Working,5ft 6in,SMF1644839,Hindu
I am very honest. ,21,Jat,"Bhiwani, Haryana, India",Others,Private Sector,5ft 7in,SMF1715439,Hindu
"She is working with an MNC and the only child. She is a simple, cheerful, bubbly, fun loving, jovial and friendly nature person. ",21,Brahmin - Rudraj,"Hyderabad, Andhra Pradesh, India",Other General University,MNC,5ft,SMF1615478,Hindu
I am an understanding person with a positive disposition.,21,Sunni,"Mumbai, Maharashtra, India",,Not Working,5ft 3in,SMF1704908,Muslim
"We are seeking a suitable alliance for our Daughter from the same caste and well-settled in his career or business. She is religious minded, progressive, confident, outgoing, fun loving. Her family is highly educated family.",21,Brahmin - Kumoani,"Ahmedabad, Gujarat, India",,Not Working,5ft 2in,SMF1695084,Hindu
"My daughter is a simple girl, who wishes to pursue a career in the future.
She likes reading, music and pets.
she is currently in her second year of her degree. 
we are a middle class family with good values.",21,Sunni,"Dubai, Dubai",,Not Working,5ft 4in,SMF1656619,Muslim
"Love cooking and listening to music. Doing post graduation, fond of eating, jolly by nature and respectful. We are looking for an educated, broad minded and well settled person with good behaviour. Should also be decent and respectful too.",21,Khatri,"Jalandhar, Punjab, India",,Not Working,5ft 5in,SMF1659737,Hindu
"Well, currently doing company secretary and LLB. I love cooking, listening to new songs, love kittens so much. I am very frank but with certain limits. ",21,,"Kalyan, Maharashtra, India","Other College, Mumbai University",Not Working,5ft 2in,SMF1655827,Hindu
I'm studying in final year of engineering. ,21,Sunni,"Dharwad, Karnataka, India","Visveswaraiah Technological University, Karnataka",Not Working,5ft 2in,SMF1678449,Muslim
"WE ARE A PUNJABI HINDU KHATRI (KHUKRAIN) FAMILY, SUNITA HAS ONE ELDER SISTER AND BROTHER. ELDER SISTER GOT MARRIED IN YEAR 2000 IN HIGH STATUS CHAWLA FAMILY FROM RAJOURI GARDEN NEW DELHI. ANOTHER ELDER BROTHER GOT MARRIED IN 2004. AT PRESENT RUNNING A RETAIL CHAIN OF FURNITURE STORES IN NEW DELHI AND GURGOAN AND LIVING TOGETHER.

",21,Khatri,"Delhi, Delhi, India","Amity University, Noida",MNC,5ft 5in,SMF1680908,Hindu
"Hi, myself kanchan kumari sehgal. I'm good, caring, fun loving and confident. I have done my graduation (B.A). Now want to do MA in english or may be in other subject. My father is a retd officer from army as a capt and my mother is a housewife. I am her to find a life partner who is good and loving by nature.",21,Scheduled Caste,"Hamirpur, Himachal Pradesh, India",,Not Working,5ft 3in,SMF1648403,Hindu
"Looking for my daughter, who is well qualified, in a good job. I am a professor of physics at Bhopal. Our native place is hanumanganj kavi, UP. We belong to jamidar family. We are in Rewa for 15 years.
",21,Kurmi Kshatriya,"Bhopal, Madhya Pradesh, India","Barkatullah University, Bhopal",Not Working,5ft 5in,SMF1661466,Hindu
My daughter is a smart and intelligent girl. She gives respect to her elders and follows family's traditions. She is a family oriented girl and knows how to balance professional and family life. She is well mannered and full with positive attitude.,21,Saini,"Delhi, Delhi, India","College of Arts, Delhi University",Not Working,5ft 5in,SMF1636202,Hindu
"A simple living person, well settled n living with family. Like playing games and doing creative things. ",21,Maratha,"Navsari, Gujarat, India",,Not Working,5ft 5in,SMF1584829,Hindu
I am looking for a good looking and well educated guy. ,21,Sunni,"Mumbai, Maharashtra, India",,Not Working,5ft 4in,SMF1707315,Muslim
"Myself Megha, a very simple, caring and religious person. Am hard working too and working with the private company.",21,Brahmin,"Chandigarh, Chandigarh, India",Punjab University,Private Sector,5ft 7in,SMF1651761,Hindu
"I am a self supporting girl, working in beauty parlor, looking for a groom who is handsome, salaried and with modern living concept. I live with my mom and my two brothers. I have done my schooling, but could not complete the SSC.",21,Chambhar,"Mumbai, Maharashtra, India",,Private Sector,4ft 11in,SMF1579410,Hindu
We have a very small and caring family who believes in simple living and high thinking. I run my own hotels and real estate business. My daughter takes care of each and every member in the family. ,21,Khatri,"Jhansi, Uttar Pradesh, India",Other General University,Not Working,5ft 6in,SMF1663227,Hindu
"I completed my BBA in the year 2012 and currently preparing for Bank exams. My parents are in Govt. services. Am a simple & sensitive person who love music, watching movies and enjoy small pleasures of life. ",21,OBC/Barber/Naayee,"Madhubani, Bihar, India",Other General University,Not Working,5ft 3in,SMF1667910,Hindu
"I am a simple girl from an educated family. I want doctor, IAS officer, business man as life partner and also from we'll known and educated family. I like shopping, traveling and swimming. ",21,Rajput,"Aurangabad, Maharashtra, India",,Not Working,5ft 5in,SMF1690873,Hindu
"My daughter is right now studying Law. She is very ambitious, good looking, career oriented and self confident person. ",21,Khatri,,,Others,5ft 7in,SMF1614178,Hindu
,21,Nair,"Mumbai, Maharashtra, India",Mumbai University,Private Sector,5ft 4in,SMF1611952,Hindu
"I am finished B.Tech I.T and just joined reputed firm in Chennai, Tamil Nadu.",21,Mudaliyar,"Chennai, Tamil Nadu, India",Anna University,Not Working,5ft 6in,SMF1564841,Hindu
"She is a girl of moderate values, well educated, very sincere and religious, good looking, homely and broad minded too. ",21,Sunni,"Delhi, Delhi, India",Jamia Millia Islamia University,Private Sector,5ft 3in,SMF1625819,Muslim
"Simple, well educated, well read, well behaved. Moderate Muslim. Read Quran. From a decent and small family. Expected well educated and decent family person. ",21,,,Institute of Chartered Accountants of India (ICAI),Others,5ft 3in,SMF1568581,Muslim
"Like to be free and fearless, happy go lucky person, finds joy in simplest things of life. Love watching movies and rain.",21,Nair,"Mumbai, Maharashtra, India",,Not Working,5ft 5in,SMF1621000,Hindu
