aboutText,age,caste,city,college,employedIn,height,profileID,religion
"My sis is vry calm, expert in cooking, Namazi and vry responsible person, can handle any situation. Looking for a suitable partner who can care her and support her in every field.",29,Sunni,"Mumbai, Maharashtra, India",,Public Sector,5ft 3in,SMF1760882,Muslim
"Am an independent girl, friendly and a very homely person. ",29,Bunt (Shetty),"Mumbai, Maharashtra, India",,Private Sector,5ft 3in,SMF1760765,Hindu
"I am kind, funny and loving lady. My heart is full of tenderness and passion which I happily give to beloved people. I am reliable and honest. ",29,,"Los Angeles, California",,Public Sector,5ft 6in,SMF1760433,Others
"Active, humble and well mannered girl. ",29,Mogaveera,"Mumbai, Maharashtra, India",,Private Sector,5ft 4in,SMF1759451,Hindu
My sister is very kindhearted and simple.,29,Kapu,"Hyderabad, Andhra Pradesh, India",,Not Working,5ft 1in,SMF1760282,Hindu
I am very simple girl and want a partner who is loving and caring.,29,Mahar,"Pune, Maharashtra, India",,Private Sector,5ft 4in,SMF1758489,Hindu
My sister is down to earth and open minded girl. We are looking for Hyderabad based boy as she is posted in Hyderabad.,29,Brahmin - Madhwa,"Hyderabad, Andhra Pradesh, India",,Central Government,5ft 2in,SMF1758288,Hindu
A simple person with simple tastes and likes. Looking for a person who values traditions and is open for a working partner. ,29,Sahiti Sindhi,"Kolkata, West Bengal, India",,Private Sector,5ft 4in,SMF1758266,Hindu
"My daughter Lovina, B.Sc (Hons), MA (English) is simple, good looking and honest. She had a successful kidney transplant about five years back and is perfectly healthy. We are from defense background, Lovina's father is ex-Colonel(Army Aviation) and is presently a Pilot in Civil Aviation. She has one sister who is younger to her. We are looking for a well educated, sincere and understanding boy for her and have no religion/caste bars.",29,Sikh - Khatri,"Mohali, Punjab, India",Indira Gandhi National Open University (IGNOU),Private Sector,5ft 2in,SMF1757487,Sikh
"Smart, Easy going and Fun Loving. Looking for a compatible partner.",29,Vishwakarma,"Delhi, Delhi, India",,Private Sector,5ft 5in,SMF1757374,Hindu
"She is an educated person who is involved in teaching students of architecture. She is person with modern outlook and she believes in Indian family values. She is humorous, innovative and caring. ",29,Baniya,,,Central Government,5ft 1in,SMF1756961,Hindu
"I am down to earth, self sufficient and soft spoken girl from Konkan Region. Looking for well Educated and well settled kindhearted person. ",29,,"Ratnagiri, Maharashtra, India",,State Government,5ft 3in,SMF1756939,Buddhist
"My daughter is an intelligent, beautiful, cultured and compassionate girl who believes in core values, traditions, string family ties, commitment and loyalty. She enjoys music, cooking, nature and love traveling. She is BA Graduate from Delhi University & Fashion Design Diploma 2 Year from South Delhi Polytechnic Behind Lady Shri Ram College + One Year Web Design + Computer Basic Course from Aptech.",29,Khatri,"Delhi, Delhi, India",,Private Sector,5ft 8in,SMF1756028,Hindu
"Simple, straight forward & god fearing girl looking for a suitable partner who is educated and well settled.",29,Ezhava,"Palakkad, Kerala, India",,Private Sector,5ft 2in,SMF1756039,Hindu
"She is calm, confident and soft-spoken girl. She has done M.C.A. and presently working with one of the MNCs in Bangalore. She can reallocate to any other place in case required. Our family resides at Faridabad.",29,Baniya,"Faridabad, Haryana, India",,MNC,5ft,SMF1755434,Hindu
"My sister is looking for a life partner who will be her friend and soul mate. Who will understand, love and will trust her. Some one who would be with her through the experiences that life has to offer.  She is a simple, down to earth , easy going person who finds happiness in the smallest of things. Our family includes me, dad, mom, an elder sister who is happily married & settled in US and my younger brother. 
",29,Catholic,"Mumbai, Maharashtra, India",,Private Sector,5ft 3in,SMF1755672,Christian
I am a simple living and high thinking girl with strong family values.,29,Brahmin - Sanadya,"Gwalior, Madhya Pradesh, India",,Private Sector,5ft 7in,SMF1755832,Hindu
"The Girl is educated all throughout in English medium schools. She has got very simple habits, God fearing, caring, lovable & prospective in every field of life, She has keen interest to go abroad. She is sophisticated, sweet nature and has a very pleasurable personality. She is well versed in food preparation. She is gracious & has a good dressing sense.  

",29,Kamboj,"Chandigarh, Chandigarh, India",IIT Punjab,MNC,5ft 2in,SMF1755634,Hindu
"My daughter has done M. Tech. Currently working as a Assistant Professor in Gurgaon. She is a simple girl who respects her culture and at the same time appreciate modern opportunities. She want a decent looking partner who respects women, one who believes in gender-equality, one who would respect her education & support her throughout life. We want a decent boy from a Rajput Garhwali family
She want to work after marriage. We are basically from Tehri-Garhwal. Myself is a govt. employee, wife is a house wife, Eldest son is a Software-Engineer, Younger daughter has done MBA & working. Youngest son is pursuing Diploma in Computers. 
We are a simple family.",29,Garhwali,"Delhi, Delhi, India",,Private Sector,5ft 3in,SMF1753544,Hindu
"An avid and versatile reader, she is trained in Hindustani classical music (since the age of 6 years), and has various other artistic inclinations like writing, and painting. Also interested in sports like table tennis, snooker. Likes travelling, exploring various cultures. She too has a strong inclination towards music and other forms of art. ",29,Brahmin - Kulin,"Bangalore, Karnataka, India",,MNC,5ft 3in,SMF1752276,Hindu
"She is smart, gud looking, carrier conscious but homely girl. She is very friendly, can adjust with all situations, loving and caring and respect elders. From a simple family with 6 members. Dad is retired, Mom is house wife, 2 brothers who are self employed and 1 elder sis married in Delhi. ",29,Brahmin,"Jalandhar, Punjab, India",,Private Sector,5ft 3in,SMF1751085,Hindu
I am a fun loving person who believes in live and  let live. I have my own business in south Delhi and i enjoy my work. I am a good mix of traditional and modern values. I love watching Hollywood movies and listening to rock music. I have a passion for photography as well.,29,Arora,"Delhi, Delhi, India",,Not Working,5ft 1in,SMF1750940,Hindu
I am sensitive girl with understanding nature and good sense of humor.,29,,"Thane, Maharashtra, India",,Private Sector,5ft 2in,SMF1751478,Buddhist
"My sister comes from a very well educated family. She is highly qualified. She believes in Indian values and is very down to earth and loving. She is an avid reader, likes music, painting, dancing and watching cricket. She loves to travel and spend time with the family.",29,Agri,"Mumbai, Maharashtra, India",,Private Sector,5ft 4in,SMF1748313,Hindu
My sister is a simple & innocent girl and we are looking for an understandable minded boy. ,29,Padmashali,"Bangalore, Karnataka, India",,Private Sector,5ft 3in,SMF1747812,Hindu
I am a person who is positive about every aspect of life.  ,29,Brahmin,"Mysore, Karnataka, India",,Central Government,5ft 1in,SMF1747204,Hindu
"My sister is well qualified professional, she is affectionate by nature. Like cooking exploring new ideas are her forte.",29,Jaiswal,"Delhi, Delhi, India",,Private Sector,5ft 1in,SMF1745010,Hindu
"My daughter is sweet, simple, caring & understanding. She is graduate, respect values, very down to earth & very religious",29,Jatav,"Delhi, Delhi, India",,Private Sector,5ft 2in,SMF1743237,Hindu
"Simple, decent, intelligent, beautiful are the words that describe our daughter.",29,Yadav,"Gurgaon, Haryana, India",,State Government,5ft 4in,SMF1743794,Hindu
"Straight froward, fun loving person.",29,Kumhar,"Satna, Madhya Pradesh, India",,Public Sector,5ft 2in,SMF1743526,Hindu
"Am quite down to earth, simple & adjustable person having respect for elders. ",29,Kurmi Kshatriya,"Jhansi, Uttar Pradesh, India","Jiwaji University, Madhya Pradesh",Not Working,5ft,SMF1743404,Hindu
This profile is created for my sister. She is simple and family oriented.,29,,"Mumbai, Maharashtra, India",,Private Sector,5ft 5in,SMF1749340,Buddhist
"As our parents says, God has already made the soul mate for every person in their dictionary and we search that guy in this planet earth. Well I am a such kind of girl who understand our family norms and we believe in Guru Granth Sahib g. I like shopping, listening to music and manage my things in perfect place. Caring and understanding are two of my most important personnel attributes. I care and respect that peoples who are attached with my life (like my family and Friends) and also appreciated and thanks to those people who gives support and love, courage in each stage of my life.",29,Sikh - Arora,"Patiala, Punjab, India",,Others,5ft 3in,SMF1742941,Sikh
Simple and  understanding. Respect traditional values and at the same time have a modern outlook. ,29,Nair,"Bangalore, Karnataka, India",,Private Sector,5ft 5in,SMF1743310,Hindu
My daughter is born in Punjab and brought up in Mumbai. She is simple and caring. We are looking for a similar match. ,29,Brahmin,"Thane, Maharashtra, India",,Private Sector,5ft 2in,SMF1741988,Hindu
"My Daughter Gayathri Gangadharan is working as a Project Lead in Wipro Technologies she's currently located in US. she's a simple, soft-spoken and down to earth person who believes in family values and our culture. she's a very responsible person 
has taken care of our family responsibilities,she has also grown significantly both in professional and personal life as well.",29,Gounder,"Bangalore, Karnataka, India",,Private Sector,5ft 3in,SMF1745161,Hindu
"My sister is good looking and PGT in Central School M P. She is caring in nature. We are looking for good match, specially one who is vegetarian and don't drink. 

 ",29,Kushwaha (Koiri),"Bhopal, Madhya Pradesh, India",,Central Government,5ft 1in,SMF1746686,Hindu
"Am simple, confident and a person who believe in hard work.",29,Brahmin - Panda,"Gurgaon, Haryana, India",,Private Sector,5ft 4in,SMF1739976,Hindu
