aboutText,age,caste,city,college,employedIn,height,profileID,religion
"I am a man of democratic nature. I love to
 travel places and looking for sumbody who is resposible and understanding , a nice human with no ego.........",35,,,,Private Sector,5ft 8in,rahul_49,Buddhist
"IAM A HARDWORKING SIMPLE PERSON.I HAVE DONE MY DOUBLE POSTGRADUATION IN BIOTECHNOLOGY & PSYCHOLOGY.I HAVE  A TISSUE CULTURE LAB IN MY NATIVE PLACE.MY CAST IS PURE VEGETARIAN.MY FAMILY IS AN AGRICULTURE FAMILY.I HAVE THREE ELDER BROTHERS(DOCTER,DOCTER,ENGINEER).IN MY FAMILY NO ONE SMOKES OR USE LIQUER.",35,Gowda,"Kalpetta/Wayanad, Kerala, India",,Others,5ft 4in,SMM1385925,Hindu
"About Me (Bride) Amout Me (Groom) 
I am a very candid person, and take things as they come. I am an honest, straight forward, ambitious and fun loving person. I believe in fidelity in relationships. I inhabit values of modern times, along with cultural & traditional values of my family. I believe in simplicity and appreciate things which are conveyed in most natural manner. I am always ready to take up challenges and explore life to the extreme with my optimistic view point as my strength. My Philosophy of life is to live each moment to its fullest and I do inculcate it in my personal as well as professional life. A free spirit- this is how I would like to describe myself. I am a friendly, fun loving and jovial person and enjoy the company of like-minded people. Travelling, exploring new places and beauty of nature is one of my passions. At the same time, I am an ambitious person, who likes to succeed in life. I would also like to describe myself as a kind, considerate and responsible person who can take good care of my family. I carry a calm, composed and steady head on my shoulders and very rarely lose my composure and temper. 
",35,Others,"Mangalore, Karnataka, India",,,5ft 6in,manm1352976,Muslim
"Dashing, handsome and self employed. Earning through family business. Cultured, decent Sindhi Larkana family and staying in Mumbai for last 30 yrs. Looking for understanding, matured and well settled girl.",35,Sindhi,"Mumbai, Maharashtra, India",,Private Sector,5ft 5in,danwani_j,Hindu
 i am living alone in this world and i need a girl with lot of love and affection . i do have one sister marries and living with her husband             ,35,Kshatriya,"Madurai, Tamil Nadu, India",,,5ft 8in,madm980477,Hindu
"I am only son of my parents, also one sister, she did Msc and got married, My father was Govt. 1st class officer and mother was home maker, unfortunately both passed away. I got married in 2007 and unfortunately I lost her in 2008 in an accident. I have done Bsc Math and then completed Diploma in Mech. Engr. and working as Mngr. in a MNC in Gujrat. I like to travell to much all over India and ofcourse on my official leave. Ilike to listen old hindi song, like cricket, like cooking and long driving. ",35,Brahmin - Kulin,"Vadodara, Gujarat, India",,Private Sector,5ft 10in,barm1365871,Hindu
"I am born and brought up in Pune and currently working for reputed IT company in Pune as Manager. I am easy going, friendly in nature, good sense of humor with modern outlook. We are a family of 4 including me. Father works as X-Ray technician in private, mother is a housewife and younger brother is a MBBS Doctor and is currently pursuing higher studies. ",35,Garhwali,"Pune, Maharashtra, India",,Private Sector,5ft 8in,punm1021224,Hindu
"Currently working in Muscat as Sales executive in Automobile industry. A fun loving with great energy and positive attitude and a good going and straight farward person. Always caring/concerned about his family well being. He is a self-made man. He is looking for a partner who is simple, caring and understands the feelings.",35,Mogaveera,"Bangalore, Karnataka, India",IIT Mumbai,Private Sector,5ft 8in,banm970457,Hindu
"I am a very understanding,straightforward and broadminded person. i am a science graduate with hons. in physics and Advanced Diploma holder in Software Application.      I am looking for a partner who will be a friend, willing to stand by me at every stage of my life...  should be well qualified, intelligent and understanding by nature. i am a science graduate with Hons.  in physics.i am Diploma holder in computer.At present i am working as a SOFTWARE TRAINER APTECH COMPUTER  ( A GLOBAL IT COMPANY.) .i have  been in field of software  training for   more than 5 years.i have 
good  knowledge of  languages  like C ,C++,    ,JAVA, HTML,XHTML,DHTML,XML,ADO,ADO.NET,VB.NET, ASP.NET,C#.NET,ORACLE,SQL SERVER, ACCESS,VB,FOXPRO, DATA STRUCTURE(C,C  ),DBMS,DATABASE PROGRAMMING,NETWORKING. i have my own house in posh area of Arrah. i have also landed property   of huge valuation in town and village both.  .i  have  very good  future and i am pursuing level 'A' (final)  course from DOEACC SOCIETY NEW DELHI.i have also worked with BALUJA EDUCATION SOCIETY NEW DELHI  an other education centers of New Delhi.i  am looking forward to a bright an fast track carrier  in software industry after my  M.C.A. i am also pursuing training course.in .NET FROM
DECCAN SOFT  HYDERABAD UNDER THE GUIDANCE OF WORLD CLASS TRAINERS WHICH WILL GIVE ME  A VERY SHARP EDGE IN TACKLING JOBS IN IT SECTOR.   
",35,Kayastha,"Arrah, Bihar, India",,Private Sector,5ft 8in,arrm1378510,Hindu
"i am  a blend of traditional cum modern values..working in government sector(mantralaya,Mumbai). i always participative in extra activities... i am a good organizer, professionally and personally also matured enough to deal with all kinds of situations... i am  jolly in nature and looking for a  bride from a sound family background having good cultural values...caste is not an issue for me... ",35,Teli,"Thane, Maharashtra, India",,State Government,5ft 11in,SMM1385751,Hindu
"religious faithfull & understanding she should smart 2 handle sitution at any circumstances frm both the side outside as well as in home also well manered
",35,Others,"Thane, Maharashtra, India",,,5ft 4in,tham1370168,Muslim
" Hi,

I am working as Busniness Analyst since 3 years in Florida,U.S.A with work permit. Parents and Family is in India,Hyderbabad. I have a younger brother and a Sister both are working. Dad is a Doctor and Mom is Principal at Nursing school.

will let you know more details when in contact.

Thanks,
Govardhan ",35,Mala,"Hyderabad, Andhra Pradesh, India",,Private Sector,5ft 8in,hydm967040,Hindu
"I'm a fun loving, broadminded guy who loves to travel and visit new places..
I am looking for an educated, caring, religious and broadminded person who can understand me and will support me in my good and bad times. For me, family and family relations are most important thing.",35,Sunni,"Ghaziabad, Uttar Pradesh, India",,,5ft 5in,gham1383014,Muslim
Professionally Well Settled Software Engineer in Gurgaon-Delhi Zone. Having good moral values. Looking for a good match mentally and pysically. Earning a good salary.,35,Kayastha,"Giridih, Jharkhand, India",,Private Sector,5ft 6in,girm1348622,Hindu
"Hi, I am a fun loving person, loves to live life upto its fullest. Dancing and Singing are 
passion of my life. I love to spend time with friends and family members. I am looking for 
a person who is down to earth, fun loving, understanding, who have respect for my feelings",35,Hindu-Others,"Ahmedabad, Gujarat, India",,,5ft 5in,ahem1375952,Hindu
"I am very soft spoken, GOD feraring, fun loving, adjustable, interested in our culture, respect elders, attached to my parents, interested in tamil/hindi/english movies and music.",35,Brahmin - Iyer,Maryland,,Private Sector,5ft 6in,marm933761,Hindu
Marriage is teamwork and over the period of time it has changed its definition from a simple patriarchal institution to a relationship based on equal partnership. I am Looking for an understanding and well settled girl. She should be as welcoming to my family as I would be for her. I am not a very loud person.Looking forward to meet my soul mate and start a fresh journey of life. I truly believe that marriages are made in heaven and fixed from up above. Life is truly increadible and I truly believe that a special someone would add a glint of sparkle to it.,35,Khatri,,,Private Sector,5ft 8in,delm759937,Hindu
"My brother is the only son and lives in Kolkata with my parents. He is an extremely family oriented person. He is of jovial and friendly nature. He has been pampered by parents and both sisters who are married and adore him. He loves to help people and stands up for family and friends always.

He runs his own business and is looking for a girl who will be his life partner and manages home front efficiently.",35,Agarwal,"Kolkata, West Bengal, India",,,6ft 1in,kolm1384238,Hindu
"hello everyone , according to people , i m loving person. although
love is not a world only for husband-wife's relation its for all
human who comes in front of us during our all life but i think best
life partner have not only love if one's describe themselves by 
him/her partner's present it can be best couple. well, I am ashif
working in financial department , national level chess player. 
searching loving & mature partner.   believe in all religion. making 
friend ,film , sports , video games , singing ... etc my hobby.",35,,"Junagadh, Gujarat, India",,Private Sector,5ft 5in,junm1381027,Others
"Father- Mr. R.S Yadav, Principal Govt Inter College.
Mother- Mrs. Reeta Yadav is vice principal in BARABANKI U.P..
Sister- Mis. Richa Yadav B.Sc., MCA  Software Engineer .
 My son Ratnesh Yadav is Software Engineer in MNC. Salary 13,68 L.P.A.He is Fair, Handsome, Smart, sportsman 7 Talented Boy. 
We are Yaduvanshi (GWAL)",35,Yadav,"Barabanki, Uttar Pradesh, India",,MNC,5ft 7in,brbm902669,Hindu
"I am a fun loving person, really enjoy listening to music, playing video games, going on long drives and good food, my friend says I am a cool guy enjoys the friendship of 
all and wants everybody around me to be happy. 
I was born & brought up in Chandigarh and done my Engineering Degree from Thapar College. Now employed as Electronics Engineer in central govt department, posted at Chandigarh.",35,,"Chandigarh, Chandigarh, India",,,5ft 5in,sandeep730,Sikh
"Always looking to improve in life.I believe in simplicity and honesty and come across as a straight forward person. Open minded, easy to accept new ideas and trends; but at the same time, I equally respect inherited family values.Looking for a girl who is educated, enthusiastic by nature.",35,Brahmin,"Greater Noida, Uttar Pradesh, India",,,5ft 8in,gnom1383187,Hindu
"iam a hard working person asi work in the shippingindustry,ilove to travel a lot visit new places,i like to learn languages i can speak english,hindi,telugu,tamil,kannada and a little bit of urdu,iam not so devotional to god,i love to cook chinese,i am openminded ",35,Kshatriya,"Eluru, Andhra Pradesh, India",,,5ft 7in,elum1379868,Hindu
"
My son is a professor for law & is an advocate.We are a srong close knit family and are vegetarians. We believe in radhasoami and would preger a girl who is vegetarian.",35,Bahi,"Mumbai, Maharashtra, India",,,5ft 8in,mumm1115410,Hindu
"Iam in medical proffestion, My native place is tiruvarur, iam in tiruvarur with my parents, My father is retired from railway department. i have 3 elder brothers.",35,Gavara,,,,5ft 7in,thrm1381022,Hindu
I am ankur maheshwari i belong a medle class family I have One brother and One sister both are married my mother is a housewife I want a girl who adjust in my family ,35,Mahendra,"Delhi, Delhi, India",,Private Sector,5ft 10in,delm1121054,Hindu
"Hi, 

My name is Abhay and have been in Bangalore since 2000. I have 9 years experience in the IT field and work in a reputed MNC. Being in a techno-marketing role, I enjoy travelling around the world and meeting new people. 

I would describe myself as a highly motivated individial, confident and who believes in making things possible. I set goals and look to achieving them. 

I like to work hard, but like to party hard as well. I enjoy good food and am always up for a nice meal with friends or family. I adapt to situations well, so not very choosy about things. I live on my own at present, with parents visiting once in a while. 

I would be looking for someone who is both outgoing and at the same time brings homely values and gets along well with my family. Looking for someone with whom I can share my feelings / dreams and work together towars achieving them. Probably someone who is open-minded and open to change, for example re-location. Will be good to find a working partner (though it's not a must). 

Plz get in touch for more details...",35,Arora,"Bangalore, Karnataka, India",,MNC,5ft 7in,banm929357,Hindu
"simple down to earth level headed kind of person gives importance to family values, respect to elders strong believer in god, moderate thinking, likes to listen to punjabi music and foodie by nature appreciate good food, fun loving personality believes in being human and always happy no matter what the situation is ",35,Nair,"Pune, Maharashtra, India",,,6ft 1in,punm1358684,Hindu
"loving,caring,responsible,understanding and honest.maintain a good relation and do mgive respect to all emotion and prefessional sentiments.love to see the world",35,Mahar,"Rest of Goa, Goa, India",,,6ft,goam1369086,Hindu
"I am a sober and dynamic mechanical engineer born on 04-10-1978 at Kashipur (Uttrakhand earlier part of uttar pradesh) and am from a kayastha family of U. P. I am working as Manager in MNC ,Gurgaon. Father retired from electricity department and have 2 elder sisters, both married and settled. Both the brother-in-laws are in class I govt. serviceI am looking for a decent, well qualified girl with decent looks and manners. ",35,Kayastha,,,Private Sector,5ft 9in,0005760198,Hindu
i want my partner to be very good spritually sound and he/she should go to temple everyday and we can be in love. i would love my partner with all my heart.,35,Punjabi,"Delhi, Delhi, India",,,6ft 4in,delm1370760,Hindu
"I am businessmen/middle class. Is nearly 3to 3.5 lakh annually Income. I want life partner  educated, religious, mutual udestadeble, loking good like moral vallu & own cast    ",35,Sunni,"Kolhapur, Maharashtra, India",,,5ft 8in,kolm1380703,Muslim
"i thank you for taking sometime out to peek into my profile,
for better understanding i will like to do a SWOT analysis of myself:
STRENGTHS:-tremendous sense of humor
-Time management.
-team player.
-matured,understanding,caring n sharing.
-pranayam
WEAKNESS:-good food.
-don''t like loosing.
-emotional.
OPPORTUNITY:1can settle anywhere in the world.
-banglore i have a home there.
-urge to become a known figure in society.
THREATS:-short tempered but when pushed against the wall ability to bounce back which also leads to
strengths.
as such no other threats.
HOBBIES:playing cricket n TT  infact im distict player in cricket n state player in TT,travelling
long drives,movies, swimming n bowling.
thts about me next u know more when u contact.
thanx a lot all the best.",35,Brahmin,,,MNC,5ft 5in,punm1101677,Hindu
I am working in muthoot Finance Visakhapatnam Regional Office in Branch Expansion Division. I am simple person. Hobbies Listening to Music & Travelling,35,Brahmin - Telugu,"Vishakhapatnam, Andhra Pradesh, India",,Private Sector,5ft 10in,vism1380622,Hindu
I Am a very soft person staying with my grand parents in Bangalore My parents are staying in Delhi One Sister got married and settled in Delhi My Father is retd and Mother working as a teacher in Govt school.,35,Brahmin - Iyengar,"Bangalore, Karnataka, India",,,6ft,banm1074832,Hindu
"hi, i am anindya ghosh, b.com(hons) and mba in marketing. working in a multi national company as AREA MANAGER-Marketing. Looking after west bengal and a part of Kolkata. I lost my father 4 yrs ago. my father was a doctor, my mother is house wife. i have one elder sister,she married and staying with her husband in kolkata. my brother in law working in state bank of india as chief manager. we stay in north kolkata in our own house for last 150 yrs but it is still new as we maintain it every year. my sister have one daughter and one son. i am very simple person and for me my family is 1st priority. now i am staying with my mother. ",35,Kayastha,"Kolkata, West Bengal, India",,MNC,5ft 10in,kolm1093460,Hindu
"My brother is working as emergency incharge in Fortis hospital in mauritius , graduate from dmch ludhiana and he is our only son ,father expired in 2003 and mother is retired teacher owns big house in hometown worth crores.i am his sis and married .",35,Ramgariah,"Faridkot, Punjab, India",,,5ft 10in,frim1363005,Sikh
" Thanks for visiting my profile. I am generlly quite a friendly and confident person. I enjoy being with honest and helpful people. I am looking forward to well educated, good looking, simple and inocent girl with sporty spirit who is liked by my family. also she should give equal imporatance to career and family. In run up to career I will help her. my salary is Rs 160000",35,Brahmin,,,State Government,5ft 4in,satm929933,Hindu
"A free spirit- this is how I would like to describe myself. I am a friendly, fun loving and jovial person and enjoy the company of like-minded people. Travelling, exploring new places and beauty of nature is one of my passions. At the same time, I am an ambitious person, who likes to succeed in life. I would also like to describe myself as a kind, considerate and responsible person who can take good care of my family. I carry a calm, composed and steady head on my shoulders and very rarely lose my composure and temper.
My Philosophy of life is to live each moment to its fullest and I do inculcate it in my personal as well as professional life. I am always ready to take up challenges and explore life to the extreme with my optimistic view point as my strength.
I believe in simplicity and appreciate things which are conveyed in most natural manner.I inhabit values of modern times, along with cultural & traditional values of my family.i want a well educated grl ",35,Punjabi,Others,,,6ft,othm1379114,Hindu
" I am loving and caring person. i like to spend with family and following family values. respect for elders. believing in god. I search like true life partner,
I am looking for simple girl who respect me and my family with values. 
previously i was working with Muscat & Saudi Arabia as a cad designer profession. Pl don't focus in my devoced symbol because my marriage life only four day.I am innocent person.",35,Brahmin,"Surat, Gujarat, India",,Private Sector,5ft 4in,surm883777,Hindu
