aboutText,age,caste,city,college,employedIn,height,profileID,religion
"I am honest, simple and a very caring person.",50,,"Mumbai, Maharashtra, India",,Others,6ft,SMM1752654,Parsi
"Grew up in Santacruz West, Mumbai and living in Australia for over 17 years. Fond of travelling, gardening, photography, world cinema, animals. Parents from mixed marriage background (Konkani Muslim father - Kutchi Hindu Vaishnav mother). Though not religious but take interest in the study or religions and cultures.
",50,Sunni,"Melbourne, Victoria",,Private Sector,5ft 11in,SMM1751373,Muslim
"Very simple person, home loving and caring for elders.",50,Brahmin,"Vijayawada, Andhra Pradesh, India",,Private Sector,5ft 11in,SMM1731978,Hindu
Am scientist of ministry of defence office. ,50,Brahmin - Gaur,"Rest of Delhi, Delhi, India",,Central Government,5ft 5in,SMM1735996,Hindu
"I am a simple, sincere, honest, friendly, broadminded and hard working person in my life. I am a computer oriented person. I love my work very much because it is a worship place for me and giving so much enthusiasm to me. ",50,Kayastha,"Kolkata, West Bengal, India",Other General University,Central Government,5ft 9in,SMM1677998,Hindu
"Hello, I have a BE from Mysore University, MSc Engg from Indian Institute of Science. I was a Senior Manager with IBM. Worked in IT for a long time and in USA. I switched to teaching after wife died of cancer. Currently Professor in Mechanical Engineering. I had the usual lows after wife's death. I disciplined myself. I do weight lifting, and intensive Cardio exercises. I am perfectly healthy and a person with clean habits. ",50,Brahmin - Madhwa,"Bangalore, Karnataka, India","Indian Institute of Science, Bangalore",Private Sector,5ft 3in,SMM1673276,Hindu
"Am a spiritual person, free from any health problem, exercise regularly, do meditation, fond of reading and helping others.",50,Brahmin,"Delhi, Delhi, India",,Central Government,5ft 8in,SMM1649113,Hindu
"I am kind, generous, handsome and someone who respect mutual space.",50,Brahmin,"Bayonne, New Jersey",Rajasthan University,Private Sector,5ft 9in,SMM1645084,Hindu
"I am living in the joint family and believe in God. I am well educated, working, social and helping natured person. ",50,Brahmin - Kokanastha,"Rest of Goa, Goa, India","Shivaji University, Maharashtra",Others,5ft 5in,SMM1648196,Hindu
"I am easy going happy person with liberal views on religion, politics etc. I am very patient, honest and caring person. Just came out of 26 years of marriage. I am looking for some one who can be a great friend then soul mate. I love to travel and like to watch movies and listen to music. I am very well settled dentist and own multiple clinics. ",50,Brahmin,"Vancouver, Washington",Banaras Hindu University,Others,5ft 11in,SMM1632159,Hindu
"I am caring and loving person. I am confident and daring person, who knows and has suffered from most difficult periods of life successfully. The search is for caring, loving and good looking, busty, preferably with long hair, life partner.",50,Panchal,"Ahmedabad, Gujarat, India",Gujarat University,Others,5ft 5in,SMM1620193,Hindu
I am into Medico field and working with the reputed health care firm in the rural sector. Looking for life partner who believe and support in serving needy people along with me.,50,Protestant,"Pune, Maharashtra, India",University of Mysore,Others,6ft,SMM1669175,Christian
