aboutText,age,caste,city,college,employedIn,height,profileID,religion
"SIMPLE & GOD FEARING PERSONALITY. LIKE TO HAVE MANY FRIENDS. LOOKING FOR A LIKE MINDED PARTNER.
",44,Brahmin - Saraswat,"Udupi, Karnataka, India",,Others,5ft 6in,SMM1757610,Hindu
Self made entrepreneur. Progressive with good sense of humour.,44,Vishwakarma,"Thiruvananthapuram , Kerala, India",,Others,5ft 8in,SMM1756212,Hindu
I am a straightforward and cool guy.,44,Dhobi,"Mysore, Karnataka, India",,Others,5ft 6in,SMM1755038,Hindu
"Hi, I am Prashant Vitthalrao Mohurle, soft spoken, humble and down to earth person. I am open-minded and respectful to others. ",44,Mali,"Mumbai, Maharashtra, India",,Private Sector,5ft 4in,SMM1748683,Hindu
I am a very simple going man. I believe in hard work & God. I am working in MNC as an Asst Mngr of marketing and posted at kolkata. ,44,Baidya,"Barasat, West Bengal, India",,MNC,5ft 5in,SMM1738378,Hindu
Dedicated father of two kids. I greatly appreciate Indian culture and values. Lived in Bangalore for two years. I'm a successful Software Development Team manager for a high tech company.,44,Protestant,"Beaverton, Oregon",,Private Sector,6ft,SMM1743318,Christian
"I am simple, straight forward person who love to play football, love good food and can cook as well.",44,Brahmin,"Kolkata, West Bengal, India",,Central Government,5ft 8in,SMM1732114,Hindu
"I am a straight forward, honest and fun loving person. I come from a traditional family background and respect age & elders. Believe in being sincere and trusting people.   ",44,Lingayath,"Bangalore, Karnataka, India",,Private Sector,5ft 4in,SMM1736899,Hindu
I am a simple person with good sense of humor and affectionate by nature. ,44,Brahmin,"Chennai, Tamil Nadu, India",,Private Sector,5ft 10in,SMM1733164,Hindu
"I am a doctor (surgeon) at a reputed government hospital. I am kind hearted, loving and caring and expect the same from my partner. My living habits are very simple and I am very straightforward. Living in Noida in own house. Have two children: daughter (age 16 years) and son (age 11 years) and they live with me.",44,,"Rest of Delhi, Delhi, India",,Central Government,5ft 10in,SMM1730006,Hindu
"Am living in Saudi Arabia from 15 yrs. 6 yrs back my wife passed away. Now seeking for a serious, honest, down to earth, loyal and understanding partner. ",44,Sunni,"Duba, Tabuk",,Others,5ft 8in,SMM1728888,Muslim
"Simple, easy going, ambitious, physically fit guy who tries to put energies into constructive use. Inclination towards religion and spiritualism. I am looking for a simple girl who likes being happy and does not have a problem in being respected and is least in nuisance value. ",44,Rajput,"Surrey, British Columbia",,Private Sector,5ft 5in,SMM1723175,Hindu
I am a cool and calm person who likes to read and write. Also like to play the occasional round of golf and a bit of squash. ,44,Brahmin,"Noida, Uttar Pradesh, India","Other College, Delhi University",Central Government,5ft 11in,SMM1720720,Hindu
"I am living with my parents. They are aged people. I wrote seven religious books in Tamil Language. Now, working as a Sub Editor in religious fortnightly Magazine. ",44,Brahmin,"Chennai, Tamil Nadu, India",,Public Sector,5ft 8in,SMM1712680,Hindu
My brother is  a fun loving simple person. He would like to marry a simple girl who is well cultured and family oriented.,44,Brahmin - Saraswat,"Margao, Goa, India",,Private Sector,5ft 6in,SMM1727266,Hindu
"Am a simple, introvert person living with my mother in South Mumbai and running my family workshop.",44,Panchal,"Mumbai, Maharashtra, India","Other College, Mumbai University",Others,5ft 8in,SMM1710578,Hindu
"Hi,I am Rajib Banerji from Kolkata. I had an arranged marriage in 2002 which ended in 2006 since I found out about my wife's infidelity. I am a firm believer in commitment and expect the same from my partner.",44,Brahmin - Rarhi,"Kolkata, West Bengal, India",,Private Sector,5ft 6in,SMF1705325,Hindu
"A good human being with positive attitude towards life. Independent, social, co-operative, straightforward, happy person with pleasant personality. I have my own Business since 18 years. ",44,Brahmin - Kokanastha,"Thane, Maharashtra, India",Other General University,Others,5ft 8in,SMM1703556,Hindu
"Hi, I am a relatively easy going personality who believes in the simple rule of live and let live. I strongly believe that you need to become a friend first to eventually become a lover, a husband and love cannot survive without friendship. Am looking for a companion who shares similar beliefs. Ours is a nuclear, peace loving family, just me, my daughter and parents. Very liberal in views, everyone respects each others space & independence.",44,Bhatia,"Noida, Uttar Pradesh, India","Other College, Delhi University",MNC,5ft 7in,SMM1708118,Hindu
"I am simple, well educated person belongs from Maharashtra. I have 2 married brothers, 1 married sister. My father is passed away, my mother is a house wife. I have one 16 years old son he was studding in English medium in Dharwad. ",44,Chambhar,"Dharwad, Karnataka, India","Shivaji University, Maharashtra",Private Sector,5ft 4in,SMF1692378,Hindu
"Looking for a person to share my life and my 9 yrs old daughter. Should be able to share life, live life and be a friend. My partner should be able to adjust and be honest. Walk along with me. ",44,Vaishnav,"Karwar, Karnataka, India",Other Business Institute,Private Sector,5ft 8in,SMM1685848,Hindu
"Believe in simple living and high thinking, am emotional and caring too. Want to lead peaceful life. ",44,,"Delhi, Delhi, India","Other College, Delhi University",Private Sector,5ft 11in,SMM1676307,Hindu
"Am living in Delhi. A Jeweler by profession and have good earning. I have 2 siblings both are happily married, living in the joint family with my mother. 
",44,Sonar,"Delhi, Delhi, India",FMS New Delhi,Others,5ft 5in,SMM1669983,Hindu
Hi my name is Ashok and am working with the private sector in Dubai since 23 years.,44,Catholic,"Dubai, Dubai",Other Diploma Institute,Public Sector,5ft 4in,SMM1673857,Christian
"I am simple, hard working and truthful man. Believe in simple and clean life style. I lived in Kuwait and its been 10 years. Now, am a Auto parts shopkeeper and a general assurance agent approved by IRDA. ",44,Lohar,"Guna, Madhya Pradesh, India",Other Engineering Institute,Others,5ft 7in,SMM1672403,Hindu
I am as good as the world around me. Highly ambitious and optimistic to the core. Great believer of the fact that relationships and personal milestones have to be earned through hard work and integrity.,44,Mahar,"Pune, Maharashtra, India",Other General University,Others,5ft 5in,SMM1671529,Hindu
Diwan is the Managing Director of the reputed firm. He has done his Diploma of Architecture in the year 1992 from Delhi and later started his company in the year 1996. In the year 2002 he has taken a break from his own company and went to Dubai & Australia to work with Al Swiss Group of Company L.L.C. & Model Craft to understand the international market better and in the year 2005 he came back to India since then there is no look back. He has a vast experience in this field because of his National and International experience. ,44,Brahmin,"Delhi, Delhi, India",,Private Sector,5ft 8in,SMM1655286,Hindu
"Smart, intelligent, jovial and helping person by nature. Like to travel and explore new places. Like swimming and a good cook. ",44,Sunni,"Hyderabad, Andhra Pradesh, India","Algappa University, Tamil Nadu",Central Government,5ft 3in,SMM1684932,Muslim
Am working as Property manager in reputed company (MNC) and salary is 40K/Month. My wife is recently expired due to cancer and my son settled with sister in law.,44,Brahmin - Smartha,"Bangalore, Karnataka, India","Sri Jayachamarajendra College of Engineering, Mysore",MNC,5ft 10in,SMM1707828,Hindu
Looking for someone whom I can spend rest of my life.,44,Agarwal,"San Jose, California",,Private Sector,5ft 8in,SMM1708883,Hindu
