aboutText,age,caste,city,college,employedIn,height,profileID,religion
"Hii This Rahul Sharma. I have finished my M.com and currently, working with my father. We have our own business. There are four members in our family. Our family is small & happy family. Mon, dad, me and my younger sister and brother. We are middle class family. I am searching a girl who should have a good knowledge about family and family values. ",23,Vishwakarma,"Anand, Gujarat, India",,Others,5ft 8in,SMM1759577,Hindu
"Hello, I am simple guy with good family background. I like photography and playing guitar. The sole purpose of making this profile is to find a decent girl from a good family for me and my family.",23,Brahmin,"Kolkata, West Bengal, India",,Public Sector,5ft 8in,SMM1758798,Hindu
"I'm simple, loving & easy going guy.",23,Vaishnav,"Mumbai, Maharashtra, India",,Private Sector,5ft 8in,SMM1757628,Hindu
I am a simple and cool guy of Chapra (Saran) Bihar.,23,,"Chhapra, Bihar, India",,Not Working,5ft 8in,SMM1756878,Muslim
"I am very simple person, working in Gujarat in a private company as CCR Engg. My hobbies are driving, watching movies, cooking, chatting etc. I have completed BE.",23,Nair,"Calicut, Kerala, India","Calicut University, Kerala",Private Sector,5ft 10in,SMM1757240,Hindu
I am very down to earth person and always believe in mutual respect in every relationship.,23,Khatri,"Kurukshetra, Haryana, India",,Others,5ft 5in,SMM1755263,Hindu
"I am straight forward, passionate about bikes and like to know about history and facts.",23,Maratha,"Thane, Maharashtra, India",,Private Sector,5ft 11in,SMM1754959,Hindu
"I am a person who believe in simple living and high thinking. I am looking for a girl with whom I can share n spend my rest of life. I believe in respecting others feeling, love and moral values the way I expect from others. ",23,Rajput,"Kanpur, Uttar Pradesh, India",,Not Working,6ft,SMM1748671,Hindu
"Am Krishna singh, have completed BE with computer science in 2012 from Bangalore. ",23,Kushwaha (Koiri),"Bangalore, Karnataka, India","Visveswaraiah Technological University, Karnataka",Private Sector,5ft 7in,SMM1748847,Hindu
I am very simple person and my family is also a simple & loving family. ,23,Brahmin - Saryuparin,"Allahabad, Uttar Pradesh, India",,Private Sector,5ft 10in,SMM1754271,Hindu
Myself Shahzad and am currently pursuing Company Secretary & working in the Manufacturing Company. ,23,,"Mumbai, Maharashtra, India",,Private Sector,5ft 6in,SMM1746816,Parsi
"I am smart and cool boy. 
",23,Sahu,"Bhopal, Madhya Pradesh, India",,Private Sector,5ft 5in,SMM1748692,Hindu
I am a good looking boy with a good educational background & with a handsome salary. ,23,Rajput,"Kolkata, West Bengal, India",,Private Sector,6ft,SMM1750307,Hindu
"I am a family oriented, hard working, joyful, peaceful, fun loving, romantic and a person with full of life person.",23,Brahmin - Dixit,"Navi Mumbai, Maharashtra, India",,MNC,6ft,SMM1748195,Hindu
"I am a free minded,  young, handsome, sometimes emotional, railway employee.",23,,,,Central Government,5ft 7in,SMM1744908,Hindu
I am Aanand from Bhopal. Want a life partner who understand me and live with me lifetime.,23,Brahmin,"Bhopal, Madhya Pradesh, India",,MNC,5ft 2in,SMM1744392,Hindu
